SITE,YEAR,TRANSECT,INTERCEPT,DBcm,SPP,INTcm,LENGTHcm,WIDTHcm,HEIGHTcm,STEMS,FLOWERS,KBBeggs,KBBlarva,NOTES,Area,
CZ3A,2001,4,11-Apr,8.3,LUPE,50,58,48,36/44,11,7,,,,8746,
CZ3A,2001,4,12-Apr,9,LUPE,25,29,20,14/19,3,0,,,,1822,
CZ3A,2001,4,13-Apr,10,LUPE,20,23,12,20/25,2,0,,,,867,
CZ3A,2001,4,14-Apr,10.4,LUPE,25,49,20,18/25,7,0,,,,3079,
CZ3A,2001,4,15-Apr,10.9,LUPE,10,15,18,11-Oct,2,0,,,,848,
CZ3A,2001,4,16-Apr,11.3,LUPE,15,46,27,Oct-43,3,3,,,,3902,
CZ3A,2001,4,17-Apr,11.5,LUPE,80,101,91,18/23,25,8,,,,28874,
CZ3A,2001,4,18-Apr,12.6,LUPE,30,47,27,23/32,13,8,,,,3987,
CZ3A,2001,4,19-Apr,13.25,LUPE,25,34,18,20/30,2,1,,,,1923,
CZ3A,2001,4,20-Apr,14.15,LUPE,55,69,30,34/39,8,8,,,,6503,
CZ3A,2001,4,21-Apr,14.8,LUPE,25,52,36,24/32,7,4,,,,5881,
CZ3A,2001,4,22-Apr,16,LUPE,60,73,72,45/50,14,16,,,,16512,
CZ3A,2001,4,23-Apr,45.6,LUPE,45,57,52,30/39,11,5,,,,9311,
CZ3A,2001,4,24-Apr,47.7,LUPE,25,30,21,20/25,2,0,,,,1979,
CZ3A,2001,4,25-Apr,48.85,LUPE,40,55,52,30/37,12,9,,,,8985,
CZ3A,2001,4,26-Apr,54.55,LUPE,10,16,15,17/20,1,0,,,,754,
CZ3A,2001,5,1-May,3.05,LUPE,4,4,4,6-May,1,0,,,,50,
CZ3A,2001,5,2-May,3.5,LUPE,5,9,7,8-Jul,1,0,,,,198,
CZ3A,2001,5,,,POSI,X,,,,,,,,,0,
CZ3A,2001,5,,,VASP,X,,,,,,,,,0,
CZ3A,2001,5,3-May,4.6,LUPE,12,42,15,15/30,2,1,,,,1979,
CZ3A,2001,5,4-May,5.1,LUPE,6,12,13,12-Nov,1,0,,,,490,
CZ3A,2001,5,5-May,6.1,LUPE,30,68,50,25/33,16,9,,,,10681,
CZ3A,2001,5,6-May,7,LUPE,30,37,33,19/22,8,1,,,,3836,
CZ3A,2001,5,7-May,7.5,LUPE,25,34,22,22/26,7,3,,,,2350,
CZ3A,2001,5,8-May,7.95,LUPE,5,8,6,6-May,1,0,,,,151,
CZ3A,2001,5,9-May,9.5,LUPE,35,38,47,19/24,7,2,,,,5611,
CZ3A,2001,5,10-May,10.3,LUPE,30,51,37,25/36,8,4,,,,5928,
CZ3A,2001,5,11-May,11.85,LUPE,25,31,27,26/29,6,2,,,,2629,
CZ3A,2001,5,12-May,12.1,LUPE,6,11,11,10-Sep,1,0,,,,380,
CZ3A,2001,5,13-May,12.09,LUPE,20,24,15,13/21,2,0,,,,1131,
CZ3A,2001,5,14-May,14.4,LUPE,10,11,10,11-Oct,1,0,,,,346,
CZ3A,2001,5,15-May,14.9,LUPE,11,15,20,10-Jul,3,0,,,,942,
CZ3A,2001,5,16-May,15.4,LUPE,20,35,20,14/17,3,0,,,,2199,
CZ3A,2001,5,17-May,13.8,LUPE,20,19,12,14/14,2,0,,,,716,
CZ3A,2001,5,18-May,16.6,LUPE,1,26,12,23-Dec,2,0,,,,980,
CZ3A,2001,5,19-May,17.05,LUPE,15,53,49,26/51,2,2,,,,8158,
CZ3A,2001,5,20-May,18.1,LUPE,30,63,54,23/43,6,8,,,,10687,
CZ3A,2001,5,15-21,19.8,LUPE,40,46,42,23/37,7,2,,,,6069,
CZ3A,2001,6,1-Jun,2.3,LUPE,10,16,11,13-Jun,1,0,,,,553,
CZ3A,2001,6,2-Jun,3.45,LUPE,15,13,14,12-Oct,1,0,,,,572,
CZ3A,2001,6,,,VASP,X,,,,,,,,,0,
CZ3A,2001,6,,,MESP,X,,,,,,,,,0,
CZ3A,2001,6,3-Jun,4.2,LUPE,15,16,16,11-Oct,2,0,,,,804,
CZ3A,2001,6,4-Jun,5.9,LUPE,5,13,8,11-Oct,1,0,,,,327,
CZ3A,2001,6,5-Jun,6.15,LUPE,15,25,15,20-Oct,2,0,,,,1178,
CZ3A,2001,6,6-Jun,7.15,LUPE,6,13,12,15-Dec,1,0,,,,490,
CZ3A,2001,6,7-Jun,7.3,LUPE,10,25,15,16/32,1,1,,,,1178,
CZ3A,2001,6,8-Jun,8.1,LUPE,10,19,20,23/25,1,1,,,,1194,
CZ3A,2001,6,9-Jun,8.4,LUPE,55,50,39,22/27,11,8,,,,6126,
CZ3A,2001,6,10-Jun,9.45,LUPE,30,36,26,15/26,7,1,,,,2940,
CZ3A,2001,6,11-Jun,10.2,LUPE,20,23,20,14/117,3,0,,,,1445,
CZ3A,2001,6,12-Jun,10.9,LUPE,25,27,15,19/34,1,1,,,,1272,
CZ3A,2001,6,13-Jun,11.05,LUPE,25,25,20,13/20,4,2,,,,1571,
CZ3A,2001,6,14-Jun,11.55,LUPE,35,50,33,23/24,7,2,,,,5183,
CZ3A,2001,6,15-Jun,12,LUPE,15,35,23,12-Oct,4,0,,,,2529,
CZ3A,2001,6,16-Jun,12.85,LUPE,40,56,42,25/35,9,3,,,,7389,
CZ3A,2001,6,17-Jun,14.75,LUPE,15,24,14,14-Sep,2,0,,,,1056,
CZ3A,2001,6,18-Jun,23.4,LUPE,45,44,29,25/33,4,1,,,,4009,
CZ3A,2001,7,,,VASP,X,,,,,,,,,0,
CZ3A,2001,7,1-Jul,1.25,LUPE,5,13,9,10-Sep,2,0,,,,368,
CZ3A,2001,7,2-Jul,1.8,LUPE,6,17,10,10-Sep,2,0,,,,534,
CZ3A,2001,7,3-Jul,2,LUPE,7,25,11,15/19,3,1,,,,864,
CZ3A,2001,7,4-Jul,2.6,LUPE,4,7,5,10-Sep,2,0,,,,110,
CZ3A,2001,7,5-Jul,2.8,LUPE,40,77,41,23/34,19,5,,,,9918,
CZ3A,2001,7,6-Jul,4.4,LUPE,10,24,18,15/21,3,0,,,,1357,
CZ3A,2001,7,7-Jul,5.15,LUPE,55,60,53,20/34,19,16,,,,9990,
CZ3A,2001,7,8-Jul,5.9,LUPE,25,47,27,20/26,5,2,,,,3987,
CZ3A,2001,7,9-Jul,6.55,LUPE,30,60,56,26/37,15,7,,,,10555,
CZ3A,2001,7,10-Jul,7.2,LUPE,25,38,24,18/25,7,2,,,,2865,
CZ3A,2001,7,11-Jul,7.55,LUPE,10,29,10,17/24,2,1,,,,911,
CZ3A,2001,7,12-Jul,9.6,LUPE,6,11,5,12-Dec,2,0,,,,173,
CZ3A,2001,7,13-Jul,10,LUPE,25,38,24,18/25,7,2,,,,2865,
CZ3A,2001,7,14-Jul,11,LUPE,45,58,51,37/38,11,4,,,,9293,
CZ3A,2001,7,15-Jul,13.6,LUPE,15,34,25,35/40,7,3,,,,2670,
CZ3A,2001,8,,,VASP,X,,,,,,,,,0,
CZ3A,2001,8,1-Aug,2.3,LUPE,3,7,4,6-Sep,1,0,,,,88,
CZ3A,2001,8,2-Aug,2.95,LUPE,10,29,19,16/30,3,1,,,,1731,
CZ3A,2001,8,3-Aug,3.7,LUPE,15,20,17,20/35,2,1,,,,1068,
CZ3A,2001,8,4-Aug,4.1,LUPE,11,25,15,15-Nov,2,0,,,,1178,
CZ3A,2001,8,5-Aug,4.8,LUPE,15,56,22,18/20,7,3,,,,3870,
CZ3A,2001,8,6-Aug,5.3,LUPE,5,9,7,8-Jul,1,0,,,,198,
CZ3A,2001,8,7-Aug,5.5,LUPE,5,11,6,9-Aug,2,0,,,,207,
CZ3A,2001,8,8-Aug,5.95,LUPE,10,36,13,22/24,4,0,,,,1470,
CZ3A,2001,8,9-Aug,6.35,LUPE,10,17,10,15-Nov,1,0,,,,534,
CZ3A,2001,8,10-Aug,6.5,LUPE,15,29,14,15/20,2,0,,,,1275,
CZ3A,2001,8,11-Aug,6.9,LUPE,10,31,13,23/28,3,3,,,,1266,
CZ3A,2001,8,12-Aug,7.2,LUPE,55,85,73,31/49,22,15,,,,19493,
CZ3A,2001,8,13-Aug,7.75,LUPE,10,16,20,15/16,2,0,,,,1005,
CZ3A,2001,8,14-Aug,8.4,LUPE,50,70,48,27/45,11,7,,,,10555,
CZ3A,2001,8,15-Aug,8.95,LUPE,15,25,21,19/20,4,0,,,,1649,
CZ3A,2001,8,16-Aug,9.3,LUPE,20,36,20,20/30,5,1,,,,2262,
CZ3A,2001,8,17-Aug,9.7,LUPE,15,39,20,20/27,7,5,,,,2450,
CZ3A,2001,8,18-Aug,10.3,LUPE,10,20,11,15/16,2,0,,,,691,
CZ3A,2001,8,19-Aug,10.7,LUPE,15,24,17,25/29,2,1,,,,1282,
CZ3A,2001,8,20-Aug,11.2,LUPE,10,15,9,17-Dec,1,0,,,,424,
CZ3A,2001,8,21-Aug,11.3,LUPE,5,29,7,13/30,1,1,,,,638,
CZ3A,2001,8,22-Aug,11.45,LUPE,10,38,21,28/28,6,4,,,,2507,
CZ3A,2001,8,23-Aug,12,LUPE,20,55,39,35/42,12,4,,,,6739,
CZ3A,2001,8,24-Aug,12.75,LUPE,5,13,10,12-Dec,1,0,,,,408,
CZ3A,2001,8,25-Aug,13,LUPE,11,19,17,27/34,1,1,,,,1015,
CZ3A,2001,8,26-Aug,13.3,LUPE,10,16,10,16-Oct,1,0,,,,503,
CZ3A,2001,8,27-Aug,13.8,LUPE,12,19,13,12-Dec,2,0,,,,776,
CZ3A,2001,9,1-Sep,2.6,LUPE,5,9,6,10-Jul,1,0,,,,170,
CZ3A,2001,9,,,VASP,X,,,,,,,,,0,
CZ3A,2001,9,,,MESP,X,,,,,,,,,0,
CZ3A,2001,9,2-Sep,2.75,LUPE,4,6,4,5-Apr,1,0,,,,75,
CZ3A,2001,9,3-Sep,3.1,LUPE,5,9,5,6-Jun,1,0,,,,141,
CZ3A,2001,9,4-Sep,4.4,LUPE,30,62,52,30/45,10,4,,,,10128,
CZ3A,2001,9,5-Sep,5.5,LUPE,10,29,29,10-Sep,4,0,,,,2642,
CZ3A,2001,9,6-Sep,5.8,LUPE,5,12,8,13-Dec,1,0,,,,302,
CZ3A,2001,9,7-Sep,6,LUPE,3,4,4,6-Jun,1,0,,,,50,
CZ3A,2001,9,8-Sep,6.75,LUPE,5,16,11,14/22,1,1,,,,553,
CZ3A,2001,9,9-Sep,8.4,LUPE,10,19,14,20-Oct,3,0,,,,836,
CZ3A,2001,9,10-Sep,8.65,LUPE,5,12,12,16-Oct,1,0,,,,452,
CZ3A,2001,9,11-Sep,6.8,LUPE,55,90,50,20/34,23,10,,,,14137,
CZ3A,2001,9,12-Sep,9.95,LUPE,10,35,26,21/32,3,3,,,,2859,
CZ3A,2001,9,13-Sep,10.9,LUPE,5,28,20,14-Oct,2,0,,,,1759,
CZ3A,2001,9,14-Sep,12.1,LUPE,55,76,57,29/34,26,5,,,,13609,
CZ3A,2001,9,15-Sep,13,LUPE,40,47,40,17/39,14,11,,,,5906,
CZ3A,2001,9,16-Sep,13,LUPE,30,48,32,22/34,8,5,,,,4825,
CZ3A,2001,9,17-Sep,13.85,LUPE,25,39,26,30/41,5,1,,,,3185,
CZ3A,2001,10,,,POSI,X,,,,,,,,,0,
CZ3A,2001,10,,,VASP,X,,,,,,,,,0,
CZ3A,2001,10,1-Oct,1.7,LUPE,5,7,4,5-Apr,1,0,,,,88,
CZ3A,2001,10,2-Oct,3.6,LUPE,5,28,10,19/27,3,2,,,,880,
CZ3A,2001,10,3-Oct,3.9,LUPE,15,55,30,30/31,6,7,,,,5183,
CZ3A,2001,10,4-Oct,4.05,LUPE,25,35,20,20/31,4,5,,,,2199,
CZ3A,2001,10,5-Oct,4.5,LUPE,10,23,14,14/19,4,0,,,,1012,
CZ3A,2001,10,6-Oct,4.95,LUPE,12,18,15,18/26,1,1,,,,848,
CZ3A,2001,10,7-Oct,5.25,LUPE,15,30,11,22/28,3,2,,,,1037,
CZ3A,2001,10,8-Oct,6.05,LUPE,20,29,20,20/28,4,1,,,,1822,
CZ3A,2001,10,9-Oct,7.35,LUPE,10,16,15,14/17,3,0,,,,754,
CZ3A,2001,10,10-Oct,7.35,LUPE,25,43,28,19/34,9,8,,,,3782,
CZ3A,2001,10,11-Oct,14.25,LUPE,30,40,26,20/29,5,0,,,,3267,
CZ3A,2001,10,12-Oct,9.9,LUPE,10,15,8,11-Oct,2,0,,,,377,
CZ3A,2001,10,13-Oct,11.15,LUPE,14,19,15,20/23,1,0,,,,895,
CZ3A,2001,10,14-Oct,14.25,LUPE,30,40,26,20/29,5,0,,,,3267,
CZ3A,2001,11,1-Nov,0,LUPE,55,102,67,20/37,39,32,,,,21469,
CZ3A,2001,11,,,VASP,X,,,,,,,,,0,
CZ3A,2001,,,,POSI,X,,,,,,,,,0,
CZ3A,2001,11,2-Nov,1.3,LUPE,30,37,18,28/37,4,4,,,,2092,
CZ3A,2001,11,3-Nov,1.95,LUPE,55,83,68,27/47,23,15,,,,17731,
CZ3A,2001,11,4-Nov,2.7,LUPE,20,17,9,13/14,3,0,,,,481,
CZ3A,2001,11,5-Nov,3,LUPE,45,85,65,23/32,19,8,,,,17357,
CZ3A,2001,11,6-Nov,4.55,LUPE,20,21,9,22/23,2,2,,,,594,
CZ3A,2001,11,7-Nov,5.25,LUPE,10,23,17,18/20,2,0,,,,1228,
CZ3A,2001,11,8-Nov,5.65,LUPE,15,26,12,17/18,2,0,,,,980,
CZ3A,2001,11,9-Nov,6.55,LUPE,20,18,10,14/25,1,0,,,,565,
CZ3A,2001,11,10-Nov,7.15,LUPE,25,35,22,17/28,3,1,,,,2419,
CZ3A,2001,11,11-Nov,7.55,LUPE,25,28,21,17/22,4,0,,,,1847,
CZ3A,2001,11,12-Nov,10.05,LUPE,15,18,12,17/18,2,0,,,,679,
CZ3A,2001,11,13-Nov,10.75,LUPE,6,13,8,10-Sep,1,0,,,,327,
CZ3A,2001,11,14-Nov,12.15,LUPE,5,7,8,12-Nov,1,0,,,,176,
CZ3A,2001,12,1-Dec,0,LUPE,5,10,7,9-Aug,1,0,,,,220,
CZ3A,2001,12,,,VASP,X,,,,,,,,,0,
CZ3A,2001,12,2-Dec,,LUPE,60,80,31,20/30,17,6,,,,7791,
CZ3A,2001,12,2-Dec,,LUPE,65,12,7,11-Sep,1,0,,,,264,
CZ3A,2001,12,3-Dec,,LUPE,60,74,62,29/36,19,15,,,,14413,
CZ3A,2001,12,5-Dec,4.55,LUPE,4,9,5,7-Jun,1,0,,,,141,
CZ3A,2001,12,6-Dec,5.6,LUPE,5,5,6,8-Jul,1,0,,,,94,
CZ3A,2001,12,7-Dec,11,LUPE,10,16,3,15-Oct,2,0,,,,151,
CZ3A,2001,12,,,POSI,X,,,,,,,,,0,
CZ3A,2001,12,8-Dec,24.45,LUPE,23,25,18,15/19,3,0,,,,1414,
CZ3A,2001,12,9-Dec,25.2,LUPE,45,60,39,34/38,6,6,,,,7351,
CZ3A,2001,12,10-Dec,28.5,LUPE,4,5,4,9-Sep,1,0,,,,63,
CZ3A,2001,13,,,VASP,X,,,,,,,,,0,
CZ3A,2001,13,,,POSI,X,,,,,,,,,0,
CZ3A,2001,13,13-1,0,LUPE,5,10,4,7-May,1,0,,,,126,
CZ3A,2001,13,13-2,0.85,LUPE,25,40,34,37/39,8,6,,,,4272,
CZ3A,2001,13,13-3,1.3,LUPE,10,26,17,19/26,2,1,,,,1389,
CZ3A,2001,13,13-4,2.2,LUPE,20,42,24,27/29,8,2,,,,3167,
CZ3A,2001,13,13-5,2.6,LUPE,50,77,50,26/35,17,17,,,,12095,
CZ3A,2001,13,13-6,3.2,LUPE,15,20,18,27/34,4,4,,,,1131,
CZ3A,2001,13,13-7,3.45,LUPE,5,8,6,12-Nov,1,0,,,,151,
CZ3A,2001,13,13-8,7.3,LUPE,35,62,45,28/33,25,17,,,,8765,
CZ3A,2001,13,13-9,7.8,LUPE,4,5,4,6-Jun,1,0,,,,63,
CZ3A,2001,13,13-10,8.1,LUPE,5,13,7,10-Jul,1,0,,,,286,
CZ3A,2001,13,13-11,8.85,LUPE,7,16,13,13/23,2,1,,,,653,
CZ3A,2001,13,13-12,13.3,LUPE,10,15,12,13-Aug,1,0,,,,565,
CZ3A,2001,13,13-13,13.5,LUPE,15,28,21,18/20,4,1,,,,1847,
CZ3A,2001,13,13-14,15.9,LUPE,40,63,24,40/44,4,3,,,,4750,
CZ3A,2001,13,13-15,19.95,LUPE,10,12,10,13-Nov,1,0,,,,377,
CZ3A,2001,13,13-6,22.2,LUPE,50,60,53,32/36,33,23,,,,9990,
CZ3A,2001,13,13-7,23.2,LUPE,40,40,28,32/48,7,4,,,,3518,
CZ3A,2001,13,13-8,23.25,LUPE,20,32,19,20/2,9,3,,,,1910,
CZ3A,2001,13,13-9,24.35,LUPE,10,13,7,12-Oct,1,0,,,,286,
CZ3A,2001,13,13-10,24.5,LUPE,15,14,9,11-Oct,1,0,,,,396,
CZ3A,2001,13,13-11,24.7,LUPE,55,65,37,31/34,11,1,,,,7555,
CZ3A,2001,13,13-12,25.9,LUPE,45,74,68,32/38,24,10,,,,15808,
CZ3A,2001,13,13-13,27,LUPE,30,28,27,20/29,4,3,,,,2375,
CZ3A,2001,13,13-14,27.25,LUPE,25,49,29,39/44,7,6,,,,4464,
CZ3A,2001,13,13-15,29,LUPE,40,54,50,45/50,10,4,,,,8482,
CZ3A,2001,13,13-16,29.45,LUPE,25,29,28,28/50,5,3,,,,2551,
CZ3A,2001,13,13-17,29.95,LUPE,30,55,50,24/31,7,0,,,,8639,
CZ3A,2001,13,13-18,30.4,LUPE,30,37,32,29/29,6,1,,,,3720,
CZ3A,2001,13,13-19,30.75,LUPE,7,9,7,14-Oct,1,0,,,,198,
CZ3A,2001,13,13-20,31.6,LUPE,5,6,5,12-Oct,1,0,,,,94,
CZ3A,2001,13,13-21,32.4,LUPE,10,15,10,13-Nov,2,0,,,,471,
CZ3A,2001,13,13-22,32.95,LUPE,21,25,13,18/22,3,0,,,,1021,
CZ3A,2001,13,13-23,33.4,LUPE,11,20,10,15/21,2,1,,,,628,
CZ3A,2001,13,13-24,33.6,LUPE,30,72,30,44/47,12,7,,,,6786,
CZ3A,2001,13,13-25,34.05,LUPE,20,42,37,35/37,8,7,,,,4882,
CZ3A,2001,13,13-26,34.6,LUPE,60,94,70,40/41,1,28,,,,20671,
CZ3A,2001,13,13-27,37.25,LUPE,30,41,32,23/25,6,4,,,,4122,
CZ3A,2001,13,13-28,38.2,LUPE,60,84,60,34/43,28,19,,,,15833,
CZ3A,2001,13,13-29,40.6,LUPE,18,11,8,12-Sep,1,0,,,,276,
CZ3A,2001,14,,,VASP,X,,,,,,,,,0,
CZ3A,2001,14,14-1,2.4,LUPE,20,40,30,15/23,9,2,,,,3770,
CZ3A,2001,14,14-2,2.85,LUPE,5,8,4,8-Mar,1,0,,,,101,
CZ3A,2001,14,14-3,3.15,LUPE,20,23,7,11-Sep,2,0,,,,506,
CZ3A,2001,14,14-4,3.85,LUPE,5,5,4,10-Jun,1,0,,,,63,
CZ3A,2001,14,14-5,5.75,LUPE,17,30,21,24/29,3,0,,,,1979,
CZ3A,2001,14,14-6,6.4,LUPE,5,8,5,9-Jul,1,0,,,,126,
CZ3A,2001,14,14-7,6.7,LUPE,5,10,5,8-Jul,1,0,,,,157,
CZ3A,2001,14,14-8,7.95,LUPE,35,45,35,34/38,7,8,,,,4948,
CZ3A,2001,14,14-9,8.75,LUPE,5,10,8,10-Oct,2,0,,,,251,
CZ3A,2001,14,14-10,10.25,LUPE,15,17,8,11-Oct,1,0,,,,427,
CZ3A,2001,14,14-11,10.7,LUPE,10,13,8,14/16,1,0,,,,327,
CZ3A,2001,14,14-12,11,LUPE,5,15,10,9-Jun,1,0,,,,471,
CZ3A,2001,14,14-13,17.95,LUPE,80,80,63,39/40,19,5,,,,15833,
CZ3A,2001,14,14-15,3.85,LUPE,5,5,4,10-Jun,1,0,,,,63,
CZ3A,2001,14,14-16,20.15,LUPE,15,18,14,15-Dec,2,0,,,,792,
CZ3A,2001,14,14-17,24.05,LUPE,30,34,20,28/34,6,5,,,,2136,
CZ3A,2001,14,14-18,25,LUPE,25,43,30,17/29,4,1,,,,4053,
CZ3A,2001,14,14-19,27.25,LUPE,10,34,28,20/40,4,2,,,,2991,
CZ3A,2001,14,14-20,30.25,LUPE,50,68,55,30/42,16,4,,,,11749,
CZ3A,2001,14,14-21,30.9,LUPE,25,49,27,22/34,4,1,,,,4156,
CZ3A,2001,14,14-22,31.85,LUPE,10,9,5,7-May,1,0,,,,141,
CZ3A,2001,14,14-23,32.5,LUPE,10,11,9,10-Aug,1,0,,,,311,
CZ3A,2001,14,14-24,32.6,LUPE,30,75,44,35/40,14,6,,,,10367,
CZ3A,2001,14,14-25,33.05,LUPE,10,11,6,12-Oct,1,0,,,,207,
CZ3A,2001,14,14-26,33.4,LUPE,15,37,19,14/20,4,1,,,,2208,
CZ3A,2001,14,14-27,34.1,LUPE,60,71,46,33/44,5,6,,,,10260,
CZ3A,2001,14,14-28,40.65,LUPE,10,15,12,13/20,1,0,,,,565,
CZ3A,2001,15,15-1,0,LUPE,5,18,11,10-Sep,3,0,,,,622,
CZ3A,2001,,,,VASP,X,,,,,,,,,0,
CZ3A,2001,15,15-2,1.5,LUPE,25,41,28,27/29,7,2,,,,3606,
CZ3A,2001,15,15-3,2.35,LUPE,10,10,9,11-Nov,1,0,,,,283,
CZ3A,2001,15,15-4,2.65,LUPE,5,3,3,4-Mar,1,0,,,,28,
CZ3A,2001,15,15-5,2.95,LUPE,6,5,9,7-Jun,1,0,,,,141,
CZ3A,2001,15,15-6,3.2,LUPE,6,9,7,9-Aug,1,0,,,,198,
CZ3A,2001,15,15-7,3.6,LUPE,15,32,16,17/24,3,0,,,,1608,
CZ3A,2001,15,15-8,3.85,LUPE,7,14,10,8-Aug,1,0,,,,440,
CZ3A,2001,15,15-9,4.1,LUPE,10,29,12,13/15,3,0,,,,1093,
CZ3A,2001,15,15-10,4.2,LUPE,10,14,10,12-Nov,2,0,,,,440,
CZ3A,2001,15,15-11,4.45,LUPE,9,12,8,10-Sep,1,0,,,,302,
CZ3A,2001,15,15-12,4.8,LUPE,6,10,7,9-Jul,1,0,,,,220,
CZ3A,2001,15,15-13,5.2,LUPE,15,22,13,20-Oct,3,0,,,,898,
CZ3A,2001,15,15-14,6,LUPE,25,53,30,14-Oct,7,0,,,,4995,
CZ3A,2001,15,15-15,6.6,LUPE,35,60,39,20/25,9,2,,,,7351,
CZ3A,2001,15,15-16,7.45,LUPE,6,5,4,7-May,1,0,,,,63,
CZ3A,2001,15,15-17,7.65,LUPE,3,3,4,5-Apr,1,0,,,,38,
CZ3A,2001,15,15-18,9.95,LUPE,5,10,6,17-Oct,1,0,,,,188,
CZ3A,2001,15,15-19,11.8,LUPE,30,48,36,16/23,7,2,,,,5429,
CZ3A,2001,15,15-20,12.2,LUPE,10,35,23,27/28,3,2,,,,2529,
CZ3A,2001,15,15-21,12.6,LUPE,40,71,37,29/24,12,6,,,,8253,
CZ3A,2001,16,,,VASP,X,,,,,,,,,0,
CZ3A,2001,16,16-1,1.45,LUPE,13,35,13,11-Oct,5,0,,,,1429,
CZ3A,2001,16,16-2,1.75,LUPE,7,19,8,20/22,2,1,,,,478,
CZ3A,2001,16,16-3,2.7,LUPE,30,45,31,27/30,13,5,,,,4382,
CZ3A,2001,16,16-4,3,LUPE,15,26,13,17/20,3,2,,,,1062,
CZ3A,2001,16,16-5,3.25,LUPE,5,6,5,10-Jul,1,0,,,,94,
CZ3A,2001,16,16-6,3.4,LUPE,20,35,20,28/35,6,4,,,,2199,
CZ3A,2001,16,16-7,3.8,LUPE,7,13,9,22/24,1,1,\,,,368,
CZ3A,2001,16,16-8,4.1,LUPE,30,38,20,20/27,4,0,,,,2388,
CZ3A,2001,16,16-9,4.45,LUPE,15,24,18,15/16,3,0,,,,1357,
CZ3A,2001,16,16-10,4.9,LUPE,15,32,20,20/44,2,1,,,,2011,
CZ3A,2001,16,16-11,5.2,LUPE,80,82,70,36/46,32,19,,,,18032,
CZ3A,2001,16,16-12,6.3,LUPE,20,30,22,23/26,4,0,,,,2073,
CZ3A,2001,16,16-13,6.7,LUPE,30,48,28,27/28,10,8,,,,4222,
CZ3A,2001,16,16-14,7.3,LUPE,15,24,17,16/22,2,1,,,,1282,
CZ3A,2001,16,16-15,7.4,LUPE,40,79,40,30/40,2,19,,,,9927,
CZ3A,2001,16,16-16,7.75,LUPE,7,12,11,20/30,2,2,,,,415,
CZ3A,2001,16,16-17,8.05,LUPE,15,40,29,31/33,3,3,,,,3644,
CZ3A,2001,16,16-18,8.1,LUPE,20,43,39,18/32,8,7,,,,5268,
CZ3A,2001,16,16-19,8.6,LUPE,25,40,20,18/19,6,4,,,,2513,
CZ3A,2001,16,16-20,9.2,LUPE,23,43,30,27/33,5,4,,,,4053,
CZ3A,2001,16,16-21,10,LUPE,5,9,5,10-Sep,1,0,,,,141,
CZ3A,2001,16,16-22,10.2,LUPE,7,11,5,7-Jun,1,0,,,,173,
CZ3A,2001,16,16-23,10.35,LUPE,8,17,11,13/14,1,0,,,,587,
CZ3A,2001,16,16-24,10.5,LUPE,25,31,29,16/23,3,0,,,,2824,
CZ3A,2001,16,16-25,11,LUPE,60,162,72,34/48,52,45,,,,36642,
CZ3A,2001,16,16-26,12.3,LUPE,25,44,38,16/36,4,7,,,,5253,
CZ3A,2001,16,16-27,12.8,LUPE,35,38,35,30/33,7,8,,,,4178,
CZ3A,2001,16,16-28,13.2,LUPE,10,10,9,10-Sep,1,0,,,,283,
CZ3A,2001,16,16-29,13.7,LUPE,15,35,20,20/23,4,2,,,,2199,
CZ3A,2001,16,16-30,14.2,LUPE,60,62,54,34/42,15,21,,,,10518,
CZ3A,2001,16,16-31,15.2,LUPE,6,10,7,6-Mar,1,0,,,,220,
CZ3A,2001,16,16-32,15.65,LUPE,15,28,14,12-Dec,2,0,,,,1231,
CZ3A,2001,16,16-33,15.8,LUPE,90,73,51,43/46,16,18,,,,11696,
CZ3A,2001,17,,,VASP,X,,,,,,,,,0,
CZ3A,2001,17,17-1,0.9,LUPE,15,22,10,14-Nov,3,0,,,,691,
CZ3A,2001,17,17-2,1.1,LUPE,10,19,12,13/15,2,0,,,,716,
CZ3A,2001,17,17-3,2.5,LUPE,45,59,41,29/30,10,6,,,,7599,
CZ3A,2001,17,17-4,3,LUPE,40,51,29,30/33,11,7,,,,4646,
CZ3A,2001,17,17-5,3.3,LUPE,10,20,13,14/20,1,0,,,,817,
CZ3A,2001,17,17-6,3.5,LUPE,20,32,26,27/34,3,2,,,,2614,
CZ3A,2001,17,17-7,4.2,LUPE,15,19,14,13-Dec,2,0,,,,836,
CZ3A,2001,17,17-8,5.3,LUPE,5,4,4,7-Jun,1,0,,,,50,
CZ3A,2001,17,17-9,5.7,LUPE,5,9,5,6-May,1,0,,,,141,
CZ3A,2001,17,17-10,7.2,LUPE,25,35,33,26/27,5,1,,,,3628,
CZ3A,2001,17,17-11,7.45,LUPE,45,65,38,29/31,11,4,,,,7760,
CZ3A,2001,17,17-12,8.1,LUPE,20,56,15,16/26,6,2,,,,2639,
CZ3A,2001,17,17-13,8.6,LUPE,120,139,123,38/38,87,56,,,,53710,
CZ3A,2001,17,17-14,10.6,LUPE,5,7,5,6-May,1,0,,,,110,
CZ3A,2001,17,17-15,11.5,LUPE,12,25,15,13-Oct,3,0,,,,1178,
CZ3A,2001,17,17-16,11.75,LUPE,10,11,10,15-Dec,1,0,,,,346,
CZ3A,2001,17,17-17,11.95,LUPE,25,34,24,22/28,6,1,,,,2563,
